,,,,,,,,,,,,
Type,Aircraft,Aircraft ID,Nation,Commander,Take off Base ,Target ,Date of Mission,Take off Time,Reason for Crash ,Latitude,Longitude ,Location
Crash,F4U-1D Corsair,NZ5429  ,New Zealand,FSgt Ian M. Thorburn, Nissan Airfield (Green Island),Rabaul,24-12-1944,NA,NIL,-4.342838,152.274908,Near Vunapope
Crash, P-38J-10 Lightning,42-67617,USA,1st Lt. Eark R. Heckler,Stirling Airfield,Rabaul,17-01-1944,NA,NIL,-4.284991,152.229581,Blanche Bay
Crash,P-38J-10-LO Lightning,42-67611,USA,2nd Lt. Theodore Schoettel, Stirling Airfield,Rabaul,17-01-1944,NA,NIL,-4.292554,152.231598,Blanche Bay off Rapopo
Crash,P-38H-1-LO Lightning,42-66680  ,USA,1st Lt. Gifford G. Brown,Stirling Airfield,Rabaul,17-01-1944,NA,NIL,-4.264617,152.209116,Blanche Bay
Crash,P-40N-5-CU Kittyhawk,NZ3175 Code 65,New Zealand,Flight Lieutenant John O. McFarlane,Ondonga Airfield (New Georgia),Rabaul,17-12-1943,9:00 AM,Anti Aircraft Fire,-4.25,152.231342,Praed Point
Crash,F4U-1A Corsair ,56261 Squadron Number 739,USA,"1st Lt James A. Foley, Jr.",Piva North Airfield (Piva Uncle) (Bougainville),Talili Bay  (Rabaul),31-08-1944,NA,Anti Aircraft Fire,-4.114549,152.165465, Talili Bay roughly 1 1/2 miles northwest  of Tavui Point.
Crash, TBF-1C Avenger,NZ2521  ,New Zealand, Sergeant William Alan Trolove,Piva North Airfield (Piva Uncle) (Bougainville),Rabaul,31-05-1944,NA,Anti Aircraft Fire,-4.18144,152.13073, Talili Bay 
Crash,F4U-1A Corsair,NZ5274 Code 74,New Zealand,Sgt William J. Thomson,Bougainville,Rabaul,20-06-1944,NA,Anti Aircraft Fire,-4.210673,152.125497,Talili Bay
Crash,F6F-3 Hellcat,9012,USA,Lt J. P. Knight, Nissan Airfield (Green),Gazelle Peninsula,29-04-1944,NA,Friendly fire in self defence,-4.161175,151.682737,Lassul Bay
Crash, FG-1A Corsair,13307,USA,1st Lt. Edward B. Cochran,Piva South Airfield on Bougainville,Rabaul,29-04-1944,NA,Friendly fire in self defence,-4.162257,151.679133,Lassul Bay
Crash,A6M2 Model 21 Zero, 31870 Tail 53-122,Japan, PO Kentaro Miyagoshi ,Rabaul,Turub ( West New Britain),18-01-1945,NA,Low Fuel,-4.196425,151.492818, Cape Lambert
Crash, Bristol Beaufighter Mark IXc,A19-141  ,Australia, F/Sgt Colin Esbert Wein,NA,New Britain,17-12-1944,NA,NIL,-5.498019,150.434295, Hoskins Airfield
Crash,Bristol Beaufighter Mark XI,A19-139  ,Australia,F/O Percy John Coates,NA,Bangula Bay and Ubili,25-11-1943,NA,NIL,-5.603691,150.150851,Kimbe.
Crash,Spitfire Mark Vc ,"""Nipponese"" Serial Number
 A58-145 Code UP-V",Britain,F/Lt Llewellyn Wettenhall,Kiriwina Airfield,New Britain,31-06-1943,NA,NIL,-5.561067,150.110563, Kimbe (North coast of New Britain)
